2025-08-29T10:08:17 | Topic removed | name=US-China Trade Policy | id=us_china_trade_policy | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:1242 | rels=6 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Euro Area Inflation | id=euro_inflation | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:1811 | rels=0 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Fed Policy Uncertainty | id=fed_policy_uncertainty | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3852 | rels=5 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Household Balance Sheet | id=household_balance_sheet | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3865 | rels=2 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=US Inflation | id=us_inflation | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3930 | rels=0 | reason=minimal_prune_not_crucial
2025-08-29T11:22:35 | Retrieved articles | Fed Policy | Retrieved 4 from API
2025-08-29T11:32:04 | Enrichment check | fed_policy | section=fundamental
2025-08-29T11:40:34 | Enrichment check | usdcny | section=fundamental
2025-08-29T11:45:51 | Enrichment check | usdcny | section=fundamental
2025-08-29T11:49:11 | Enrichment check | usdcny | section=fundamental
2025-08-29T11:49:30 | Enrichment check | usdcny | section=fundamental
2025-08-29T11:50:09 | Enrichment check | usdcny | section=fundamental
2025-08-29T11:59:04 | Enrichment check | usdcny | section=fundamental
2025-08-29T12:08:27 | Enrichment check | usdcny | section=fundamental
2025-08-29T12:09:46 | Enrichment check | usdcny | section=fundamental
2025-08-29T12:10:47 | Enrichment check | usdcny | section=medium
2025-08-29T12:12:54 | Enrichment check | usdcny | section=current
2025-08-29T12:21:37 | Enrichment check | usdcny | section=fundamental
2025-08-29T12:22:14 | Enrichment check | usdcny | section=medium
2025-08-29T13:35:55 | Enrichment check | usdcny | section=fundamental
2025-08-29T13:36:16 | Enrichment check | usdcny | section=medium
2025-08-29T13:37:00 | Enrichment check | usdcny | section=current
2025-08-29T13:37:22 | Enrichment check | fed_policy | section=fundamental
2025-08-29T13:37:51 | Enrichment check | fed_policy | section=medium
2025-08-29T13:49:11 | Enrichment check | usdcny | section=fundamental
2025-08-29T13:49:55 | Enrichment check | usdcny | section=medium
2025-08-29T13:50:22 | Enrichment check | usdcny | section=current
2025-08-29T13:50:55 | Enrichment check | fed_policy | section=fundamental
2025-08-29T13:52:06 | Node relationship created | fed_policy->ust10y | type=INFLUENCES
2025-08-29T13:52:06 | Replacement of article skipped | fed_policy | tf=current cnt=1 < 5
2025-08-29T13:52:07 | Added article | V0BEQ94VR | to existing topic fed_policy
2025-08-29T13:52:29 | Node relationship created | ust10y->dxy | type=INFLUENCES
2025-08-29T13:52:29 | Replacement of article skipped | ust10y | tf=current cnt=1 < 5
2025-08-29T13:52:29 | Added article | V0BEQ94VR | to existing topic ust10y
2025-08-29T13:52:47 | Retrieved articles | German 10Y Bund Yield | Retrieved 10 from API
2025-08-29T13:52:47 | Node relationship created | dxy->eurusd | type=INFLUENCES
2025-08-29T13:52:47 | Replacement of article skipped | dxy | tf=current cnt=1 < 5
2025-08-29T13:52:47 | Added article | V0BEQ94VR | to existing topic dxy
2025-08-29T13:53:10 | Node relationship created | eurusd->dxy | type=COMPONENT_OF
2025-08-29T13:53:10 | Replacement of article skipped | eurusd | tf=current cnt=1 < 5
2025-08-29T13:53:10 | Added article | V0BEQ94VR | to existing topic eurusd
2025-08-29T13:53:47 | Node relationship created | fed_policy->spx | type=INFLUENCES
2025-08-29T13:53:48 | Replacement of article skipped | spx | tf=current cnt=1 < 5
2025-08-29T13:53:48 | Added article | V0BEQ94VR | to existing topic spx
2025-08-29T13:53:48 | Backfill added | V0BEQ94VR -> fed_policy | section=fundamental
2025-08-29T13:54:12 | Enrichment check | fed_policy | section=medium
2025-08-29T13:55:13 | Node relationship created | us_inflation->fed_policy | type=INFLUENCES
2025-08-29T13:55:13 | Replacement of article skipped | us_inflation | tf=current cnt=1 < 5
2025-08-29T13:55:13 | Added article | HCYCKF3PN | to existing topic us_inflation
2025-08-29T13:55:31 | Node relationship created | fed_policy->sofr | type=INFLUENCES
2025-08-29T13:55:31 | Replacement of article skipped | fed_policy | tf=current cnt=2 < 5
2025-08-29T13:55:31 | Added article | HCYCKF3PN | to existing topic fed_policy
2025-08-29T13:55:53 | Node relationship created | ust10y->us_inflation | type=CORRELATES_WITH
2025-08-29T13:55:53 | Replacement of article skipped | ust10y | tf=current cnt=2 < 5
2025-08-29T13:55:54 | Added article | HCYCKF3PN | to existing topic ust10y
2025-08-29T13:56:13 | Node relationship created | ust2y->dxy | type=INFLUENCES
2025-08-29T13:56:13 | Replacement of article skipped | ust2y | tf=current cnt=1 < 5
2025-08-29T13:56:14 | Added article | HCYCKF3PN | to existing topic ust2y
2025-08-29T13:56:36 | Node relationship created | dxy->ust10y | type=INFLUENCES
2025-08-29T13:56:37 | Replacement of article skipped | dxy | tf=current cnt=2 < 5
2025-08-29T13:56:37 | Added article | HCYCKF3PN | to existing topic dxy
2025-08-29T13:57:05 | Node relationship created | eurusd->ust10y | type=CORRELATES_WITH
2025-08-29T13:57:05 | Replacement of article skipped | eurusd | tf=current cnt=2 < 5
2025-08-29T13:57:05 | Added article | HCYCKF3PN | to existing topic eurusd
2025-08-29T13:57:05 | Backfill added | HCYCKF3PN -> fed_policy | section=medium
2025-08-29T13:58:12 | Node relationship created | fed_policy->ust2y | type=INFLUENCES
2025-08-29T13:58:12 | Replacement of article skipped | fed_policy | tf=medium cnt=0 < 5
2025-08-29T13:58:12 | Added article | GZ9VV1RV0 | to existing topic fed_policy
2025-08-29T13:58:27 | Node relationship created | us_inflation->ust10y | type=INFLUENCES
2025-08-29T13:58:27 | Replacement of article skipped | us_inflation | tf=medium cnt=0 < 5
2025-08-29T13:58:27 | Added article | GZ9VV1RV0 | to existing topic us_inflation
2025-08-29T13:58:46 | Node relationship created | ust10y->bund10y | type=CORRELATES_WITH
2025-08-29T13:58:46 | Replacement of article skipped | ust10y | tf=medium cnt=0 < 5
2025-08-29T13:58:47 | Added article | GZ9VV1RV0 | to existing topic ust10y
2025-08-29T13:58:47 | Backfill added | GZ9VV1RV0 -> fed_policy | section=medium
2025-08-29T13:58:47 | Enrichment check | fed_policy | section=current
2025-08-29T13:58:47 | Enrichment check | bund10y | section=fundamental
2025-08-29T14:01:32 | Enrichment check | ust10y | section=fundamental
2025-08-29T14:03:24 | Enrichment check | ust10y | section=medium
2025-08-29T14:04:02 | Node relationship created | fed_policy->us_inflation | type=INFLUENCES
2025-08-29T14:04:02 | Replacement of article skipped | fed_policy | tf=medium cnt=0 < 5
2025-08-29T14:04:02 | Added article | V075F0GSV | to existing topic fed_policy
2025-08-29T14:04:42 | Node relationship created | us_inflation->ust2y | type=INFLUENCES
2025-08-29T14:04:42 | Replacement of article skipped | us_inflation | tf=medium cnt=0 < 5
2025-08-29T14:04:42 | Added article | V075F0GSV | to existing topic us_inflation
2025-08-29T14:05:09 | Node relationship created | ust10y->spx | type=INFLUENCES
2025-08-29T14:05:09 | Replacement of article skipped | ust10y | tf=medium cnt=0 < 5
2025-08-29T14:05:09 | Added article | V075F0GSV | to existing topic ust10y
2025-08-29T14:05:41 | Node relationship created | spx->ust10y | type=CORRELATES_WITH
2025-08-29T14:05:41 | Replacement of article skipped | spx | tf=current cnt=2 < 5
2025-08-29T14:05:41 | Added article | VDO8D9T7M | to existing topic spx
2025-08-29T14:05:47 | Node relationship created | bund10y->eurusd | type=INFLUENCES
2025-08-29T14:05:48 | Replacement of article skipped | bund10y | tf=medium cnt=0 < 5
2025-08-29T14:05:48 | Added article | V075F0GSV | to existing topic bund10y
2025-08-29T14:06:39 | Node relationship created | us_inflation->ust5y | type=INFLUENCES
2025-08-29T14:06:39 | Replacement of article skipped | us_inflation | tf=current cnt=2 < 5
2025-08-29T14:06:39 | Added article | VDO8D9T7M | to existing topic us_inflation
2025-08-29T14:06:45 | Node relationship created | euro_inflation->ecb_policy | type=INFLUENCES
2025-08-29T14:06:45 | Replacement of article skipped | euro_inflation | tf=medium cnt=0 < 5
2025-08-29T14:06:45 | Added article | V075F0GSV | to existing topic euro_inflation
2025-08-29T14:07:08 | Node relationship created | fed_policy->dxy | type=INFLUENCES
2025-08-29T14:07:08 | Replacement of article skipped | fed_policy | tf=current cnt=3 < 5
2025-08-29T14:07:08 | Added article | VDO8D9T7M | to existing topic fed_policy
2025-08-29T14:07:20 | Node relationship created | sx5e->ust10y | type=CORRELATES_WITH
2025-08-29T14:07:20 | Replacement of article skipped | sx5e | tf=medium cnt=0 < 5
2025-08-29T14:07:20 | Added article | V075F0GSV | to existing topic sx5e
2025-08-29T14:08:03 | Node relationship created | ust10y->ust30y | type=INFLUENCES
2025-08-29T14:08:03 | Replacement of article skipped | ust10y | tf=current cnt=3 < 5
2025-08-29T14:08:03 | Added article | VDO8D9T7M | to existing topic ust10y
2025-08-29T14:08:03 | Backfill added | VDO8D9T7M -> ust10y | section=medium
2025-08-29T14:08:10 | Node relationship created | us_inflation->spx | type=INFLUENCES
2025-08-29T14:08:10 | Replacement of article skipped | spx | tf=medium cnt=0 < 5
2025-08-29T14:08:10 | Added article | V075F0GSV | to existing topic spx
2025-08-29T14:08:44 | Node relationship created | gold->ust10y | type=CORRELATES_WITH
2025-08-29T14:08:44 | Replacement of article skipped | gold | tf=medium cnt=0 < 5
2025-08-29T14:08:44 | Added article | V075F0GSV | to existing topic gold
2025-08-29T14:09:09 | Node relationship created | wti->us_inflation | type=INFLUENCES
2025-08-29T14:09:09 | Replacement of article skipped | wti | tf=medium cnt=0 < 5
2025-08-29T14:09:10 | Added article | V075F0GSV | to existing topic wti
2025-08-29T14:10:00 | Node relationship created | brent->dxy | type=CORRELATES_WITH
2025-08-29T14:10:00 | Replacement of article skipped | brent | tf=medium cnt=0 < 5
