2025-09-03T00:01:55 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T00:01:55 | Node relationship created | fed_policy->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T00:01:55 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T00:01:56 | Added article | W55CADR2T | to existing topic fed_policy
2025-09-03T00:03:20 | Node relationship removed | ust10y->eur_at1_issuance | type=INFLUENCES
2025-09-03T00:03:21 | Node relationship created | ust10y->usdcny | type=INFLUENCES
2025-09-03T00:03:21 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T00:03:21 | Added article | OXAT85HL4 | to existing topic ust10y
2025-09-03T00:05:05 | Node relationship removed | ust2y->fed_powell_rate_cut_hint_2025 | type=CORRELATES_WITH
2025-09-03T00:05:06 | Node relationship created | ust2y->sx5e | type=CORRELATES_WITH
2025-09-03T00:05:06 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T00:05:06 | Added article | OXAT85HL4 | to existing topic ust2y
2025-09-03T00:06:47 | Node relationship removed | dxy->us_unemployment_claims | type=CORRELATES_WITH
2025-09-03T00:06:47 | Node relationship created | dxy->us_services_pmi | type=CORRELATES_WITH
2025-09-03T00:06:47 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T00:06:47 | Added article | OXAT85HL4 | to existing topic dxy
2025-09-03T00:06:48 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=usd_cny Error: Failed to fetch node from Neo4j: Node with id 'usd_cny' not found.
2025-09-03T00:06:48 | Replacement of article skipped | usd_cny | tf=current cnt=0 < 5
2025-09-03T00:06:48 | Added article | OXAT85HL4 | to existing topic usd_cny
2025-09-03T00:06:58 | Node relationship removed | ust10y->jgb10y | type=INFLUENCES
2025-09-03T00:06:58 | Node relationship created | ust10y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T00:06:58 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T00:06:58 | Added article | RNC1044AP | to existing topic ust10y
2025-09-03T00:08:39 | Node relationship removed | china_exports->fed_policy | type=INFLUENCES
2025-09-03T00:08:39 | Node relationship created | china_exports->brent | type=INFLUENCES
2025-09-03T00:08:39 | Replacement of article skipped | china_exports | tf=current cnt=4 < 5
2025-09-03T00:08:39 | Added article | OXAT85HL4 | to existing topic china_exports
2025-09-03T00:08:45 | Node relationship removed | spx->copper | type=CORRELATES_WITH
2025-09-03T00:08:45 | Node relationship created | spx->us_services_pmi | type=CORRELATES_WITH
2025-09-03T00:08:46 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T00:08:46 | Added article | RNC1044AP | to existing topic spx
2025-09-03T00:08:46 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=ndx Error: Failed to fetch node from Neo4j: Node with id 'ndx' not found.
2025-09-03T00:08:46 | Replacement of article skipped | ndx | tf=current cnt=0 < 5
2025-09-03T00:08:46 | Added article | RNC1044AP | to existing topic ndx
2025-09-03T00:09:54 | Node relationship created | china_credit_impulse->cn_russia_gas_pipeline | type=INFLUENCES
2025-09-03T00:09:55 | Replacement of article skipped | china_credit_impulse | tf=current cnt=0 < 5
2025-09-03T00:09:55 | Added article | OXAT85HL4 | to existing topic china_credit_impulse
2025-09-03T00:14:25 | Node relationship removed | gold->spx | type=CORRELATES_WITH
2025-09-03T00:14:25 | Node relationship created | gold->copper | type=CORRELATES_WITH
2025-09-03T00:14:25 | Replacement of article skipped | gold | tf=current cnt=2 < 5
2025-09-03T00:14:25 | Added article | RNC1044AP | to existing topic gold
2025-09-03T00:15:56 | Node relationship removed | fed_policy->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T00:15:56 | Node relationship created | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T00:15:56 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T00:15:56 | Added article | OXAT85HL4 | to existing topic fed_policy
2025-09-03T00:16:22 | Node relationship removed | fed_policy->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T00:16:22 | Relationship duplicate | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T00:16:22 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T00:16:22 | Added article | RNC1044AP | to existing topic fed_policy
2025-09-03T00:16:52 | Node relationship removed | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-09-03T00:16:52 | Node relationship created | us_inflation->us_services_pmi | type=INFLUENCES
2025-09-03T00:16:53 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T00:16:53 | Added article | OXAT85HL4 | to existing topic us_inflation
2025-09-03T00:17:10 | Enrichment check | wti | section=fundamental
2025-09-03T00:17:10 | Enrichment check | wti | section=medium
2025-09-03T00:17:10 | Enrichment check | wti | section=current
2025-09-03T00:17:11 | Enrichment summary | topic=wti (WTI Crude Oil) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T00:17:11 | Pipeline complete | pipeline | run complete
2025-09-03T00:17:18 | Retrieved articles | Brent Crude Oil | Retrieved 10 from API
2025-09-03T00:18:22 | Node relationship removed | us_core_pce->fed_policy | type=INFLUENCES
2025-09-03T00:18:22 | Node relationship created | us_core_pce->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T00:18:22 | Replacement of article skipped | us_core_pce | no competing candidates in timeframe current
2025-09-03T00:18:22 | Added article | OXAT85HL4 | to existing topic us_core_pce
2025-09-03T00:19:23 | Node relationship created | spx->bund10y | type=INFLUENCES
2025-09-03T00:19:24 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T00:19:24 | Added article | OXAT85HL4 | to existing topic spx
2025-09-03T00:24:16 | Relationship duplicate | gold->ust30y | type=INFLUENCES
2025-09-03T00:24:16 | Replacement of article skipped | gold | tf=current cnt=2 < 5
2025-09-03T00:24:17 | Added article | OXAT85HL4 | to existing topic gold
2025-09-03T00:27:36 | Node relationship removed | spx->gold | type=CORRELATES_WITH
2025-09-03T00:27:36 | Node relationship created | spx->fed_powell_rate_cut_hint_2025 | type=CORRELATES_WITH
2025-09-03T00:27:36 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T00:27:36 | Added article | V8HCJ2GD3 | to existing topic spx
2025-09-03T00:28:45 | Node relationship removed | ust10y->us_services_pmi | type=CORRELATES_WITH
2025-09-03T00:28:45 | Node relationship created | ust10y->oil_price_decline | type=CORRELATES_WITH
2025-09-03T00:28:45 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T00:28:45 | Added article | V8HCJ2GD3 | to existing topic ust10y
2025-09-03T00:29:37 | Replacement of article skipped | spx | no competing candidates in timeframe fundamental
2025-09-03T00:29:37 | Added article | 1Y1TTQJY7 | to existing topic spx
2025-09-03T00:32:37 | Node relationship removed | dxy->ust30y | type=INFLUENCES
2025-09-03T00:32:37 | Node relationship created | dxy->copper | type=INFLUENCES
2025-09-03T00:32:38 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T00:32:38 | Added article | V8HCJ2GD3 | to existing topic dxy
2025-09-03T00:32:47 | Node relationship removed | sx5e->ust2y | type=CORRELATES_WITH
2025-09-03T00:32:47 | Node relationship created | sx5e->us_core_pce | type=CORRELATES_WITH
2025-09-03T00:32:47 | Replacement of article skipped | sx5e | tf=fundamental cnt=2 < 5
2025-09-03T00:32:47 | Added article | 1Y1TTQJY7 | to existing topic sx5e
2025-09-03T00:34:47 | Node relationship created | gold->ecb_policy | type=INFLUENCES
2025-09-03T00:34:47 | Replacement of article skipped | gold | tf=current cnt=2 < 5
2025-09-03T00:34:47 | Added article | V8HCJ2GD3 | to existing topic gold
2025-09-03T00:35:02 | Node relationship created | gold->usdcny | type=INFLUENCES
2025-09-03T00:35:02 | Replacement of article skipped | gold | tf=fundamental cnt=1 < 5
2025-09-03T00:35:02 | Added article | 1Y1TTQJY7 | to existing topic gold
2025-09-03T00:36:41 | Node relationship removed | wti->gold | type=INFLUENCES
2025-09-03T00:36:41 | Node relationship created | wti->spx | type=INFLUENCES
2025-09-03T00:36:41 | Replacement of article skipped | wti | no competing candidates in timeframe current
2025-09-03T00:36:41 | Added article | V8HCJ2GD3 | to existing topic wti
2025-09-03T00:36:46 | Node relationship removed | dxy->copper | type=INFLUENCES
2025-09-03T00:36:46 | Node relationship created | dxy->ust30y | type=INFLUENCES
2025-09-03T00:36:46 | Replacement of article skipped | dxy | no competing candidates in timeframe fundamental
2025-09-03T00:36:46 | Added article | 1Y1TTQJY7 | to existing topic dxy
2025-09-03T00:38:10 | Node relationship created | brent->sx5e | type=INFLUENCES
2025-09-03T00:38:10 | Replacement of article skipped | brent | no competing candidates in timeframe current
2025-09-03T00:38:10 | Added article | V8HCJ2GD3 | to existing topic brent
2025-09-03T00:39:19 | Node relationship removed | eurusd->gold | type=INFLUENCES
2025-09-03T00:39:19 | Node relationship created | eurusd->oil_price_decline | type=INFLUENCES
2025-09-03T00:39:19 | Replacement of article skipped | eurusd | tf=fundamental cnt=1 < 5
2025-09-03T00:39:19 | Added article | 1Y1TTQJY7 | to existing topic eurusd
2025-09-03T00:40:57 | Node relationship removed | us_inflation->us_services_pmi | type=INFLUENCES
2025-09-03T00:40:57 | Node relationship created | us_inflation->eurusd | type=INFLUENCES
2025-09-03T00:40:58 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T00:40:58 | Added article | V8HCJ2GD3 | to existing topic us_inflation
2025-09-03T00:41:11 | Replacement of article skipped | ust10y | no competing candidates in timeframe fundamental
2025-09-03T00:41:11 | Added article | 1Y1TTQJY7 | to existing topic ust10y
2025-09-03T00:42:43 | Node relationship removed | us_services_pmi->us_unemployment_claims | type=INFLUENCES
2025-09-03T00:42:43 | Node relationship created | us_services_pmi->ust30y | type=INFLUENCES
2025-09-03T00:42:43 | Replacement of article skipped | us_services_pmi | tf=current cnt=2 < 5
2025-09-03T00:42:43 | Added article | V8HCJ2GD3 | to existing topic us_services_pmi
2025-09-03T00:42:53 | Node relationship removed | ust2y->usdcny | type=INFLUENCES
2025-09-03T00:42:53 | Node relationship created | ust2y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T00:42:54 | Replacement of article skipped | ust2y | no competing candidates in timeframe fundamental
2025-09-03T00:42:54 | Added article | 1Y1TTQJY7 | to existing topic ust2y
2025-09-03T00:44:03 | Replacement of article skipped | us_unemployment_claims | tf=current cnt=4 < 5
2025-09-03T00:44:03 | Added article | V8HCJ2GD3 | to existing topic us_unemployment_claims
2025-09-03T00:44:58 | Node relationship removed | ust5y->usdcny | type=INFLUENCES
2025-09-03T00:44:58 | Node relationship created | ust5y->sx5e | type=INFLUENCES
2025-09-03T00:44:58 | Replacement of article skipped | ust5y | no competing candidates in timeframe fundamental
2025-09-03T00:44:58 | Added article | 1Y1TTQJY7 | to existing topic ust5y
2025-09-03T00:45:42 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T00:45:43 | Node relationship created | fed_policy->gold | type=INFLUENCES
2025-09-03T00:45:43 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T00:45:43 | Added article | V8HCJ2GD3 | to existing topic fed_policy
2025-09-03T00:47:07 | Node relationship removed | ust30y->us_unemployment_claims | type=INFLUENCES
2025-09-03T00:47:07 | Node relationship created | ust30y->wti | type=INFLUENCES
2025-09-03T00:47:07 | Replacement of article skipped | ust30y | no competing candidates in timeframe fundamental
2025-09-03T00:47:07 | Added article | 1Y1TTQJY7 | to existing topic ust30y
2025-09-03T00:48:26 | Node relationship removed | ust30y->us_services_pmi | type=INFLUENCES
2025-09-03T00:48:26 | Node relationship created | ust30y->ust5y | type=INFLUENCES
2025-09-03T00:48:26 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T00:48:26 | Added article | V8HCJ2GD3 | to existing topic ust30y
2025-09-03T00:49:17 | Node relationship created | uk_30yr_gilt_yield->dxy | type=INFLUENCES
2025-09-03T00:49:17 | Replacement of article skipped | uk_30yr_gilt_yield | tf=current cnt=1 < 5
2025-09-03T00:49:17 | Added article | V8HCJ2GD3 | to existing topic uk_30yr_gilt_yield
2025-09-03T00:50:48 | Topic rejected | name=Should YOU copy Angela Rayner and put your house in a trust? | category=None | failure=proposal_null
2025-09-03T00:50:48 | Failed to create new topic for article | 068EVL5LD | to new topic None
2025-09-03T00:52:16 | Node relationship removed | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-09-03T00:52:16 | Node relationship created | fed_policy->us_services_pmi | type=INFLUENCES
